epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24310.2,0.64565,0.83471,1.09743,0.75085,0.78856,0.84407,0.66798,0.70574,0.76297,1.22548,0.007921,0.007921,0.007921
44,24841.1,0.64043,0.83089,1.09282,0.74827,0.76518,0.82877,0.65998,0.70977,0.78479,1.22197,0.0078715,0.0078715,0.0078715
45,25373.1,0.64516,0.81195,1.09129,0.73341,0.79248,0.83159,0.66348,0.70078,0.78073,1.22002,0.007822,0.007822,0.007822
46,25902.9,0.64648,0.81779,1.09407,0.73105,0.79299,0.83274,0.66167,0.70492,0.79257,1.22603,0.0077725,0.0077725,0.0077725
47,26433.2,0.63536,0.81734,1.09037,0.74301,0.78189,0.83282,0.66302,0.70268,0.77238,1.2203,0.007723,0.007723,0.007723
48,26964.2,0.63797,0.80353,1.09078,0.77649,0.75278,0.83737,0.66748,0.70915,0.77423,1.22577,0.0076735,0.0076735,0.0076735
49,27493.9,0.63484,0.80519,1.09118,0.73826,0.8035,0.84315,0.67305,0.69872,0.77318,1.21498,0.007624,0.007624,0.007624
50,28024.1,0.63107,0.79308,1.08593,0.77053,0.76652,0.84022,0.6683,0.69438,0.77595,1.21173,0.0075745,0.0075745,0.0075745
51,28553.8,0.63158,0.78766,1.08527,0.7815,0.76725,0.83706,0.66483,0.70167,0.77976,1.22016,0.007525,0.007525,0.007525
52,29083.7,0.62885,0.79541,1.08717,0.77654,0.7682,0.8402,0.66877,0.71429,0.76594,1.2394,0.0074755,0.0074755,0.0074755
53,29614.3,0.62973,0.7766,1.08421,0.75345,0.78676,0.8404,0.66929,0.70199,0.76499,1.22068,0.007426,0.007426,0.007426
54,30144.6,0.62684,0.76802,1.08477,0.73604,0.78701,0.83396,0.66719,0.71067,0.76452,1.23439,0.0073765,0.0073765,0.0073765
55,30674,0.62086,0.77061,1.07535,0.7506,0.77848,0.83572,0.66539,0.70785,0.77271,1.2314,0.007327,0.007327,0.007327
56,31202.5,0.61865,0.7775,1.07949,0.7418,0.79653,0.83989,0.67071,0.71667,0.77018,1.24003,0.0072775,0.0072775,0.0072775
57,31732.2,0.6181,0.75774,1.07639,0.73174,0.80158,0.83836,0.67049,0.70794,0.77306,1.23279,0.007228,0.007228,0.007228
58,32261.8,0.61579,0.75054,1.07627,0.73681,0.79214,0.83143,0.66242,0.71094,0.78354,1.23874,0.0071785,0.0071785,0.0071785
