epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,758.745,0.78081,3.61467,1.23539,0.01336,0.98485,0.10754,0.09009,0.47373,4.08513,1.10924,0.000215794,0.000215794,0.000215794
2,1591.77,0.71231,3.06172,1.22335,0.38589,0.27237,0.16489,0.13029,0.66068,3.79848,1.32154,0.00043379,0.00043379,0.00043379
3,2419.66,0.73951,2.64513,1.22926,0.31168,0.47822,0.31601,0.26025,0.67412,3.0304,1.28201,0.000647384,0.000647384,0.000647384
4,3248.59,0.77354,2.43803,1.25067,0.38247,0.41136,0.27801,0.18981,0.96065,4.2132,1.5954,0.00064719,0.00064719,0.00064719
5,4103.25,0.73956,2.17876,1.21405,0.38775,0.52299,0.41549,0.32125,0.72727,2.68323,1.39714,0.000640587,0.000640587,0.000640587
6,4979.35,0.71766,2.0751,1.17472,0.27035,0.6315,0.48481,0.39936,0.61776,2.8632,1.22624,0.000633983,0.000633983,0.000633983
7,5857.98,0.69524,1.98257,1.15454,0.46658,0.5264,0.49082,0.39062,0.7032,2.68239,1.34847,0.00062738,0.00062738,0.00062738
8,6720.63,0.73891,1.92122,1.21378,0.43407,0.57522,0.52719,0.43333,0.65954,2.22571,1.29318,0.000620777,0.000620777,0.000620777
9,7587.54,0.69969,1.80408,1.16537,0.54212,0.49123,0.50041,0.42559,0.66161,2.28347,1.26663,0.000614174,0.000614174,0.000614174
10,8422.95,0.67922,1.80146,1.14778,0.48423,0.52747,0.57149,0.46218,0.67676,2.18676,1.26893,0.00060757,0.00060757,0.00060757
11,9213.92,0.64909,1.6578,1.13229,0.57786,0.52037,0.56598,0.44575,0.70776,2.0977,1.2807,0.000600967,0.000600967,0.000600967
12,9852.25,0.68444,1.59327,1.14604,0.41536,0.5744,0.57926,0.46377,0.69735,2.03797,1.31976,0.000594364,0.000594364,0.000594364
13,10496.2,0.67809,1.59087,1.13755,0.58075,0.55431,0.63893,0.55973,0.56483,1.92359,1.17092,0.00058776,0.00058776,0.00058776
14,11140.8,0.6827,1.51278,1.15094,0.59718,0.64161,0.7159,0.61119,0.65332,1.68674,1.27498,0.000581157,0.000581157,0.000581157
15,11775.7,0.65966,1.39995,1.12889,0.56598,0.55789,0.64322,0.57027,0.56825,1.69402,1.15627,0.000574554,0.000574554,0.000574554
16,12429.3,0.64017,1.40047,1.12114,0.52363,0.58432,0.65328,0.57099,0.57224,1.63086,1.16914,0.00056795,0.00056795,0.00056795
17,13160.3,0.67966,1.38106,1.14292,0.5327,0.63725,0.6568,0.57285,0.56903,1.62353,1.1828,0.000561347,0.000561347,0.000561347
18,13938.4,0.63859,1.32842,1.11907,0.55937,0.74022,0.72473,0.62051,0.59633,1.5615,1.21256,0.000554744,0.000554744,0.000554744
19,14715.2,0.64228,1.31075,1.12038,0.79528,0.63144,0.70485,0.62561,0.55434,1.32621,1.16865,0.000548141,0.000548141,0.000548141
20,15425.4,0.62184,1.27099,1.10133,0.77415,0.69549,0.77165,0.68947,0.53817,1.23215,1.12735,0.000541537,0.000541537,0.000541537
21,16130.7,0.60868,1.19845,1.1026,0.5581,0.81625,0.74673,0.6553,0.53577,1.21797,1.12596,0.000534934,0.000534934,0.000534934
22,16850.6,0.61341,1.20697,1.09394,0.63808,0.66734,0.72148,0.62802,0.59335,1.33746,1.19198,0.000528331,0.000528331,0.000528331
23,17566.3,0.61846,1.25044,1.10065,0.60515,0.77385,0.7659,0.67993,0.5033,1.16241,1.10409,0.000521727,0.000521727,0.000521727
24,18301.6,0.61218,1.19985,1.10253,0.63417,0.70915,0.7544,0.67468,0.51374,1.09697,1.11413,0.000515124,0.000515124,0.000515124
25,19013.3,0.60112,1.13112,1.10204,0.65089,0.78618,0.73748,0.65401,0.54564,1.22345,1.14605,0.000508521,0.000508521,0.000508521
26,19732.3,0.59332,1.11099,1.09441,0.66928,0.68533,0.77065,0.67916,0.54061,1.19263,1.13764,0.000501917,0.000501917,0.000501917
27,20454.5,0.6058,1.1119,1.08556,0.63437,0.77176,0.74492,0.65122,0.55498,1.16267,1.14424,0.000495314,0.000495314,0.000495314
28,21165.7,0.60202,1.06503,1.09176,0.53736,0.66522,0.68005,0.54024,0.80414,1.6284,1.40827,0.000488711,0.000488711,0.000488711
29,21873.2,0.58397,1.04324,1.07942,0.76185,0.70267,0.76189,0.65416,0.5704,1.16217,1.15446,0.000482108,0.000482108,0.000482108
30,22586.2,0.59802,1.03445,1.09234,0.61428,0.71514,0.74291,0.64835,0.55936,1.17232,1.14126,0.000475504,0.000475504,0.000475504
31,23305.3,0.56993,1.05007,1.06441,0.60179,0.72835,0.74112,0.65418,0.55444,1.13923,1.12309,0.000468901,0.000468901,0.000468901
32,24016.9,0.5558,0.98407,1.05837,0.65119,0.82213,0.80659,0.71216,0.50939,1.13035,1.10384,0.000462298,0.000462298,0.000462298
33,24725,0.59494,1.01852,1.1028,0.64291,0.89788,0.81794,0.71276,0.52621,1.0124,1.10914,0.000455694,0.000455694,0.000455694
34,25451,0.5813,1.00083,1.07628,0.75153,0.79087,0.848,0.74308,0.53099,0.94784,1.11381,0.000449091,0.000449091,0.000449091
35,26160.7,0.58442,0.99386,1.0928,0.81881,0.76674,0.8585,0.77156,0.48106,0.91298,1.07276,0.000442488,0.000442488,0.000442488
36,26882,0.57025,0.96348,1.06391,0.68946,0.75799,0.7934,0.70151,0.53604,1.07138,1.11544,0.000435884,0.000435884,0.000435884
37,27588.1,0.55918,0.89071,1.06951,0.77989,0.75066,0.81064,0.72853,0.50287,1.02827,1.08514,0.000429281,0.000429281,0.000429281
38,28304.3,0.57196,0.92548,1.07212,0.70788,0.77519,0.84075,0.76029,0.4822,0.88365,1.07179,0.000422678,0.000422678,0.000422678
39,29018.3,0.58436,0.92213,1.08429,0.67067,0.79538,0.81102,0.7128,0.53232,1.04018,1.11391,0.000416075,0.000416075,0.000416075
40,29729.1,0.56433,0.94527,1.07396,0.5989,0.76837,0.756,0.68117,0.47578,1.07968,1.05948,0.000409471,0.000409471,0.000409471
41,30424.8,0.55877,0.90207,1.0696,0.84378,0.65934,0.80924,0.71917,0.5135,0.9599,1.08062,0.000402868,0.000402868,0.000402868
42,31143.5,0.54457,0.84187,1.05574,0.61537,0.80632,0.78723,0.7131,0.49539,1.06243,1.08589,0.000396265,0.000396265,0.000396265
43,31866.5,0.54162,0.8593,1.05823,0.70777,0.83774,0.83057,0.74031,0.49305,0.88065,1.068,0.000389661,0.000389661,0.000389661
44,32576.8,0.54289,0.897,1.05968,0.77925,0.72152,0.81856,0.72861,0.4866,0.87188,1.0774,0.000383058,0.000383058,0.000383058
45,33283.5,0.53987,0.84536,1.05137,0.67167,0.78186,0.81867,0.72639,0.50132,0.87741,1.08622,0.000376455,0.000376455,0.000376455
46,33995.7,0.53619,0.80336,1.04969,0.77829,0.81018,0.86042,0.7681,0.49686,0.79389,1.08191,0.000369851,0.000369851,0.000369851
47,34704.6,0.54691,0.83274,1.05957,0.69978,0.77404,0.81,0.73317,0.47803,0.87253,1.06076,0.000363248,0.000363248,0.000363248
48,35406.2,0.54532,0.8174,1.0599,0.80586,0.65756,0.79941,0.70003,0.53376,1.0336,1.10723,0.000356645,0.000356645,0.000356645
49,36133.3,0.53544,0.80203,1.03898,0.69947,0.78664,0.80278,0.7191,0.48609,0.8972,1.06523,0.000350042,0.000350042,0.000350042
50,36844.2,0.54156,0.77733,1.05326,0.77048,0.7316,0.79328,0.70945,0.48876,0.86893,1.07083,0.000343438,0.000343438,0.000343438
51,37563.9,0.53657,0.76972,1.03605,0.79316,0.82593,0.87658,0.7867,0.47928,0.75718,1.06992,0.000336835,0.000336835,0.000336835
52,38297.4,0.53106,0.76232,1.03922,0.73666,0.67676,0.78801,0.71035,0.49405,0.96975,1.06758,0.000330232,0.000330232,0.000330232
53,39012.6,0.53298,0.79917,1.03394,0.75641,0.75716,0.81757,0.7208,0.51836,0.89255,1.09326,0.000323628,0.000323628,0.000323628
54,39729,0.53816,0.71741,1.04516,0.69301,0.78924,0.80917,0.72583,0.52429,0.85174,1.0961,0.000317025,0.000317025,0.000317025
55,40450.8,0.50596,0.73823,1.03282,0.79003,0.78254,0.86129,0.77611,0.48779,0.79991,1.06706,0.000310422,0.000310422,0.000310422
56,41158.7,0.51153,0.7086,1.04341,0.78317,0.71311,0.80225,0.72759,0.49833,0.8718,1.06543,0.000303818,0.000303818,0.000303818
57,41870.5,0.51837,0.7931,1.04001,0.80915,0.74438,0.82469,0.73261,0.51165,0.90733,1.08071,0.000297215,0.000297215,0.000297215
58,42590.3,0.50669,0.75043,1.04288,0.78131,0.7779,0.84263,0.754,0.49963,0.76494,1.07518,0.000290612,0.000290612,0.000290612
59,43310.1,0.52868,0.74858,1.06173,0.78555,0.69233,0.81636,0.73605,0.4892,0.85216,1.06842,0.000284009,0.000284009,0.000284009
60,44024.8,0.5217,0.73436,1.04959,0.73204,0.7316,0.78649,0.70324,0.5108,0.94586,1.08921,0.000277405,0.000277405,0.000277405
61,44735.9,0.52034,0.72786,1.04451,0.72243,0.81603,0.84108,0.75168,0.50967,0.85754,1.083,0.000270802,0.000270802,0.000270802
62,45433.4,0.49772,0.70618,1.02021,0.74462,0.83214,0.85075,0.76986,0.46752,0.72244,1.04428,0.000264199,0.000264199,0.000264199
63,46136.3,0.48757,0.69456,1.03046,0.78847,0.75824,0.82261,0.7432,0.45421,0.86359,1.03532,0.000257595,0.000257595,0.000257595
64,46878,0.50799,0.71507,1.0351,0.75152,0.74377,0.83682,0.74809,0.48213,0.8015,1.06589,0.000250992,0.000250992,0.000250992
65,47605.8,0.48341,0.6504,1.01629,0.76047,0.79734,0.83311,0.75832,0.47692,0.80754,1.05482,0.000244389,0.000244389,0.000244389
66,48318.6,0.49687,0.72416,1.02752,0.72889,0.81464,0.84095,0.7505,0.48602,0.79401,1.05309,0.000237785,0.000237785,0.000237785
67,49040.6,0.48487,0.67131,1.02592,0.71671,0.83054,0.82678,0.75714,0.45854,0.80425,1.03807,0.000231182,0.000231182,0.000231182
68,49759,0.4884,0.66448,1.02694,0.84723,0.72549,0.84837,0.77611,0.45196,0.7688,1.03792,0.000224579,0.000224579,0.000224579
69,50484.4,0.4616,0.63383,0.99653,0.76714,0.78358,0.8502,0.77548,0.4509,0.77608,1.03022,0.000217976,0.000217976,0.000217976
70,51203.8,0.48115,0.63432,1.01599,0.82088,0.73365,0.82695,0.73623,0.49301,0.82492,1.063,0.000211372,0.000211372,0.000211372
71,51917.6,0.47497,0.60979,1.01054,0.76003,0.7845,0.84546,0.76422,0.47996,0.71412,1.05757,0.000204769,0.000204769,0.000204769
72,52630.2,0.47101,0.58074,1.00701,0.80621,0.72446,0.83244,0.74795,0.47833,0.80495,1.05666,0.000198166,0.000198166,0.000198166
73,53361.2,0.4767,0.63377,1.01454,0.85885,0.72368,0.84369,0.75411,0.47677,0.79708,1.05889,0.000191562,0.000191562,0.000191562
74,54086.5,0.46905,0.57489,1.01435,0.78473,0.82487,0.85895,0.76387,0.50882,0.75908,1.08982,0.000184959,0.000184959,0.000184959
75,54780.8,0.4873,0.63298,1.01681,0.79289,0.7714,0.8339,0.74765,0.48393,0.81552,1.06161,0.000178356,0.000178356,0.000178356
76,55504.7,0.47678,0.59866,1.01864,0.78283,0.80241,0.85138,0.771,0.47071,0.72883,1.04925,0.000171752,0.000171752,0.000171752
77,56219,0.483,0.65528,1.0252,0.78973,0.82729,0.84116,0.75229,0.48562,0.73411,1.05894,0.000165149,0.000165149,0.000165149
78,56959.4,0.47391,0.5804,1.01186,0.80988,0.81547,0.85447,0.76973,0.4658,0.72773,1.04492,0.000158546,0.000158546,0.000158546
79,57694.2,0.48374,0.59367,1.02379,0.7135,0.79601,0.83043,0.74625,0.48793,0.76261,1.06656,0.000151943,0.000151943,0.000151943
80,58414.1,0.45382,0.5887,1.01652,0.77355,0.83982,0.85917,0.775,0.4766,0.75721,1.05575,0.000145339,0.000145339,0.000145339
81,59145.1,0.46941,0.57768,1.02429,0.81484,0.8257,0.86733,0.78791,0.47001,0.74909,1.04397,0.000138736,0.000138736,0.000138736
82,59860.9,0.47719,0.58719,1.0178,0.82427,0.78235,0.86148,0.77792,0.48231,0.78223,1.06008,0.000132133,0.000132133,0.000132133
83,60577.9,0.44731,0.57097,1.0104,0.79745,0.76982,0.84283,0.76715,0.4836,0.76956,1.06293,0.000125529,0.000125529,0.000125529
84,61319.6,0.45019,0.56347,1.00172,0.71327,0.84259,0.82073,0.75057,0.47089,0.7613,1.05631,0.000118926,0.000118926,0.000118926
85,62024.3,0.44943,0.5786,1.00509,0.75622,0.81239,0.85866,0.78099,0.46109,0.75717,1.05115,0.000112323,0.000112323,0.000112323
86,62740.6,0.45299,0.54179,1.00294,0.73231,0.81961,0.84536,0.7676,0.45851,0.74696,1.04563,0.00010572,0.00010572,0.00010572
87,63452.2,0.43545,0.55786,0.99339,0.8318,0.74505,0.84786,0.76483,0.45338,0.7098,1.0404,9.91162e-05,9.91162e-05,9.91162e-05
88,64177.7,0.45775,0.57595,1.00215,0.77526,0.82242,0.86443,0.78287,0.46075,0.69786,1.05025,9.25129e-05,9.25129e-05,9.25129e-05
89,64900.2,0.45098,0.55823,0.99511,0.85027,0.80172,0.87935,0.79655,0.4489,0.70214,1.03632,8.59096e-05,8.59096e-05,8.59096e-05
90,65614.8,0.45218,0.51967,1.0096,0.8172,0.7929,0.88531,0.80016,0.46141,0.71,1.04645,7.93063e-05,7.93063e-05,7.93063e-05
91,66319.7,0.33002,0.42016,0.93571,0.84251,0.77764,0.86973,0.77856,0.46557,0.7409,1.04646,7.2703e-05,7.2703e-05,7.2703e-05
92,67036.2,0.32639,0.45465,0.92515,0.77385,0.81817,0.8535,0.77232,0.45264,0.78958,1.04399,6.60997e-05,6.60997e-05,6.60997e-05
93,67752.1,0.32713,0.48483,0.94687,0.7957,0.76993,0.83854,0.75759,0.44659,0.83422,1.03831,5.94964e-05,5.94964e-05,5.94964e-05
