epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1574.2,0.85982,3.44049,1.29522,0.8006,0.20881,0.20481,0.17801,0.54897,3.61851,1.18092,0.000218689,0.000218689,0.000218689
2,3025.43,0.78505,2.59915,1.26666,0.2665,0.61202,0.35248,0.28705,0.58874,3.03938,1.24486,0.000436656,0.000436656,0.000436656
3,4496.1,0.8031,2.24616,1.26256,0.43035,0.58727,0.52358,0.39275,0.7281,2.92478,1.3087,0.000650221,0.000650221,0.000650221
4,5978.34,0.80567,2.02429,1.25603,0.37365,0.53112,0.48902,0.39716,0.63546,2.49834,1.22678,0.00064719,0.00064719,0.00064719
5,7473.53,0.80033,1.8838,1.24726,0.43926,0.678,0.61243,0.52133,0.59571,2.34035,1.19083,0.000640587,0.000640587,0.000640587
6,8887.17,0.78092,1.70745,1.22516,0.53636,0.79608,0.74519,0.59192,0.6586,1.93471,1.18338,0.000633983,0.000633983,0.000633983
7,9993.68,0.76025,1.63614,1.20873,0.50584,0.45462,0.47921,0.379,0.63933,2.60819,1.23443,0.00062738,0.00062738,0.00062738
8,11073.2,0.74675,1.52985,1.19589,0.53083,0.59584,0.56317,0.47897,0.53321,1.85252,1.10076,0.000620777,0.000620777,0.000620777
9,12196.7,0.72253,1.49659,1.17129,0.62282,0.55987,0.66083,0.56817,0.56536,1.67287,1.15509,0.000614174,0.000614174,0.000614174
10,13450.4,0.69289,1.33417,1.14107,0.62885,0.64782,0.63892,0.55644,0.57865,1.50307,1.13603,0.00060757,0.00060757,0.00060757
11,14768.5,0.69489,1.29126,1.16164,0.56003,0.74599,0.71825,0.63408,0.51799,1.54706,1.09641,0.000600967,0.000600967,0.000600967
12,16010.1,0.69649,1.24501,1.14647,0.51677,0.73154,0.70352,0.58865,0.62492,1.53555,1.15313,0.000594364,0.000594364,0.000594364
13,17233,0.71421,1.23615,1.16759,0.63534,0.64578,0.72877,0.63419,0.49426,1.46259,1.05345,0.00058776,0.00058776,0.00058776
14,18477.5,0.68335,1.16074,1.14395,0.63908,0.74384,0.76688,0.63815,0.55806,1.38777,1.10301,0.000581157,0.000581157,0.000581157
15,19690.2,0.6834,1.12475,1.14256,0.53834,0.73192,0.70189,0.60404,0.45937,1.4715,1.05947,0.000574554,0.000574554,0.000574554
16,20883.9,0.65956,1.08761,1.12788,0.75451,0.68349,0.77915,0.67534,0.50336,1.24397,1.06747,0.00056795,0.00056795,0.00056795
17,22092.7,0.66316,1.08813,1.13646,0.28144,0.49303,0.42521,0.25656,1.47806,2.54626,1.78483,0.000561347,0.000561347,0.000561347
18,23290.1,0.6349,1.01803,1.11705,0.69383,0.48514,0.54951,0.49084,0.45557,1.78139,1.05043,0.000554744,0.000554744,0.000554744
19,24498.5,0.62458,1.02783,1.11542,0.72444,0.72604,0.80134,0.71283,0.49092,1.12429,1.06738,0.000548141,0.000548141,0.000548141
20,25709.3,0.63188,0.96687,1.11651,0.68012,0.83211,0.82891,0.72258,0.46972,1.20301,1.04999,0.000541537,0.000541537,0.000541537
21,26924.4,0.63236,0.95434,1.1075,0.65828,0.69325,0.73773,0.6611,0.44373,1.14846,1.02228,0.000534934,0.000534934,0.000534934
22,28140.6,0.62718,0.95039,1.11231,0.75366,0.59154,0.72753,0.6683,0.44861,1.5446,1.03205,0.000528331,0.000528331,0.000528331
23,29367.5,0.61219,0.89944,1.10394,0.50743,0.70533,0.71971,0.65505,0.47194,1.38607,1.05804,0.000521727,0.000521727,0.000521727
24,30588.1,0.64517,0.88375,1.10596,0.6714,0.81983,0.79862,0.69499,0.50418,1.13165,1.02843,0.000515124,0.000515124,0.000515124
25,31829.6,0.62856,0.84852,1.10415,0.8408,0.67416,0.81845,0.72213,0.43713,1.06416,1.0058,0.000508521,0.000508521,0.000508521
26,33021.6,0.62848,0.82508,1.11495,0.5598,0.66779,0.72128,0.5786,0.5841,1.34446,1.13021,0.000501917,0.000501917,0.000501917
27,34245.2,0.61657,0.82079,1.10927,0.6568,0.71918,0.71724,0.65456,0.44273,1.24072,1.02553,0.000495314,0.000495314,0.000495314
28,35455.1,0.57537,0.79842,1.08334,0.66607,0.85259,0.85722,0.76833,0.47132,1.04413,1.03762,0.000488711,0.000488711,0.000488711
29,36667.4,0.57593,0.7663,1.07204,0.57354,0.79465,0.70334,0.5674,0.67378,1.28584,1.2056,0.000482108,0.000482108,0.000482108
30,37856.1,0.59625,0.77214,1.0988,0.69515,0.72752,0.78701,0.72601,0.42604,1.1885,0.99828,0.000475504,0.000475504,0.000475504
31,39063.8,0.60096,0.7412,1.09146,0.8145,0.74522,0.81988,0.71992,0.46605,1.02918,1.01807,0.000468901,0.000468901,0.000468901
32,40277,0.5754,0.73314,1.08235,0.6915,0.76178,0.8029,0.7243,0.44702,1.08726,1.01637,0.000462298,0.000462298,0.000462298
33,41494,0.57941,0.71359,1.07898,0.66377,0.83641,0.82099,0.75133,0.43556,0.91212,0.99353,0.000455694,0.000455694,0.000455694
34,42712.4,0.5888,0.75692,1.0822,0.74601,0.79391,0.84878,0.74187,0.55131,1.01467,1.1169,0.000449091,0.000449091,0.000449091
35,43926.9,0.57196,0.73496,1.07393,0.77236,0.71315,0.78879,0.60177,0.71147,1.42387,1.25221,0.000442488,0.000442488,0.000442488
36,45150.1,0.55273,0.67145,1.06046,0.75169,0.76995,0.78543,0.70611,0.42297,1.04246,1.01399,0.000435884,0.000435884,0.000435884
37,46377.3,0.57126,0.65979,1.0666,0.78562,0.73123,0.81705,0.71761,0.47643,0.9524,1.0109,0.000429281,0.000429281,0.000429281
38,47608.9,0.56499,0.69563,1.07567,0.8009,0.75805,0.82076,0.74854,0.43002,0.99557,1.00479,0.000422678,0.000422678,0.000422678
39,48832.3,0.57679,0.67582,1.07955,0.7641,0.84116,0.83358,0.75054,0.455,1.02789,1.01877,0.000416075,0.000416075,0.000416075
40,50066.8,0.56129,0.66182,1.05673,0.70333,0.77711,0.77995,0.72158,0.40854,1.10399,0.9788,0.000409471,0.000409471,0.000409471
41,51331.6,0.54498,0.6791,1.07094,0.68039,0.78819,0.77874,0.67497,0.49721,1.16842,1.06034,0.000402868,0.000402868,0.000402868
42,52586.5,0.54717,0.65351,1.05616,0.83454,0.76898,0.8403,0.75234,0.4452,1.03261,1.00998,0.000396265,0.000396265,0.000396265
43,53811.4,0.5651,0.67978,1.08534,0.80536,0.65257,0.79916,0.73143,0.46023,0.987,1.01214,0.000389661,0.000389661,0.000389661
44,55048.1,0.55344,0.63517,1.05858,0.86197,0.67774,0.77478,0.73377,0.40892,0.95841,0.98451,0.000383058,0.000383058,0.000383058
45,56281.4,0.52349,0.60193,1.04482,0.74582,0.74694,0.81125,0.75141,0.40781,0.91334,0.98142,0.000376455,0.000376455,0.000376455
46,57508.2,0.52804,0.64673,1.05438,0.6712,0.7265,0.73355,0.61866,0.60475,1.36756,1.17837,0.000369851,0.000369851,0.000369851
47,58743.7,0.52007,0.58834,1.04215,0.49831,0.44833,0.50452,0.29079,1.32748,2.33942,2.13088,0.000363248,0.000363248,0.000363248
48,59961.6,0.53173,0.57798,1.05976,0.82045,0.71466,0.81905,0.75436,0.40319,0.91581,0.98364,0.000356645,0.000356645,0.000356645
49,61208,0.53043,0.59784,1.04602,0.79242,0.7744,0.83462,0.75298,0.45901,0.97081,1.00489,0.000350042,0.000350042,0.000350042
50,62448.1,0.52617,0.59839,1.04698,0.72028,0.79374,0.81403,0.77197,0.39541,0.80539,0.9618,0.000343438,0.000343438,0.000343438
51,63722.1,0.52968,0.57682,1.05327,0.7439,0.78798,0.79717,0.7359,0.41654,0.99326,0.99874,0.000336835,0.000336835,0.000336835
52,64998.6,0.50457,0.54723,1.03131,0.8683,0.65467,0.84348,0.77008,0.42312,0.88321,0.99854,0.000330232,0.000330232,0.000330232
53,66260.7,0.52733,0.54199,1.04768,0.76035,0.67618,0.76282,0.70595,0.42882,1.01201,0.99328,0.000323628,0.000323628,0.000323628
54,67520.1,0.50971,0.52897,1.03071,0.82075,0.70139,0.78348,0.71815,0.43993,0.94715,0.99175,0.000317025,0.000317025,0.000317025
55,68792.4,0.50783,0.53835,1.03685,0.68158,0.87535,0.86748,0.78884,0.40949,0.83065,0.98447,0.000310422,0.000310422,0.000310422
56,70058.7,0.51676,0.55857,1.04467,0.84714,0.67881,0.84072,0.77674,0.42661,0.85347,1.00378,0.000303818,0.000303818,0.000303818
57,71323.2,0.50728,0.5302,1.03414,0.86903,0.7357,0.80343,0.73816,0.42607,0.97136,0.98534,0.000297215,0.000297215,0.000297215
58,72727.9,0.51225,0.53449,1.03987,0.8242,0.74663,0.86301,0.7777,0.42089,0.82083,0.97713,0.000290612,0.000290612,0.000290612
59,73233.5,0.49662,0.52219,1.03257,0.78059,0.75999,0.80553,0.74455,0.43064,0.94972,0.97393,0.000284009,0.000284009,0.000284009
