epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,73719,0.49633,0.51847,1.02903,0.81643,0.73262,0.80019,0.73988,0.41363,0.92315,0.99499,0.000277405,0.000277405,0.000277405
61,74206.5,0.50266,0.51173,1.03918,0.83585,0.69393,0.82685,0.76232,0.44615,0.93698,1.00183,0.000270802,0.000270802,0.000270802
62,74700.5,0.4897,0.51106,1.0363,0.78899,0.68052,0.78546,0.6934,0.51871,1.02044,1.05823,0.000264199,0.000264199,0.000264199
63,75149,0.5007,0.51198,1.03824,0.79742,0.75725,0.84359,0.79361,0.36663,0.90484,0.95032,0.000257595,0.000257595,0.000257595
64,75589.7,0.48633,0.49727,1.02776,0.70291,0.78211,0.78339,0.72494,0.39923,1.16463,0.96745,0.000250992,0.000250992,0.000250992
65,76030.2,0.48212,0.48787,1.02254,0.81019,0.72253,0.81708,0.75737,0.41649,1.00544,0.99251,0.000244389,0.000244389,0.000244389
66,76471.3,0.47276,0.48733,1.01926,0.79103,0.66971,0.78913,0.73161,0.41201,1.03573,0.98066,0.000237785,0.000237785,0.000237785
67,76914,0.47835,0.46307,1.02166,0.69685,0.77766,0.78229,0.7121,0.41859,0.9619,0.99251,0.000231182,0.000231182,0.000231182
68,77357,0.46835,0.47277,1.01849,0.86911,0.71029,0.81778,0.75133,0.40323,0.88328,0.97915,0.000224579,0.000224579,0.000224579
69,77802.5,0.46483,0.47271,1.01311,0.70377,0.80964,0.81322,0.75577,0.39982,0.9854,0.97449,0.000217976,0.000217976,0.000217976
70,78248.4,0.47084,0.45753,1.01981,0.81672,0.77262,0.83926,0.78404,0.3791,0.79449,0.95321,0.000211372,0.000211372,0.000211372
71,78693.1,0.46933,0.44611,1.01803,0.89278,0.63779,0.83924,0.78155,0.39254,0.82853,0.96568,0.000204769,0.000204769,0.000204769
72,79140,0.46917,0.45525,1.02189,0.77142,0.7718,0.77831,0.71919,0.39048,0.94523,0.96706,0.000198166,0.000198166,0.000198166
73,79587,0.47816,0.46444,1.02748,0.82383,0.6995,0.80074,0.7377,0.38929,0.89068,0.96411,0.000191562,0.000191562,0.000191562
74,80035.6,0.45094,0.46405,1.01096,0.79933,0.74098,0.79732,0.7385,0.383,0.94334,0.96092,0.000184959,0.000184959,0.000184959
75,80484.1,0.45081,0.43558,1.01721,0.78091,0.70971,0.82768,0.76146,0.42437,0.8682,0.98344,0.000178356,0.000178356,0.000178356
76,80930.5,0.46298,0.45165,1.02506,0.70068,0.79599,0.80061,0.74248,0.39384,0.907,0.9666,0.000171752,0.000171752,0.000171752
77,81380.1,0.44189,0.42807,1.00333,0.77988,0.74144,0.81461,0.75858,0.39547,0.82691,0.961,0.000165149,0.000165149,0.000165149
78,81826.7,0.44505,0.42739,1.00088,0.82845,0.72471,0.78483,0.73103,0.38361,0.90959,0.96162,0.000158546,0.000158546,0.000158546
79,82276.4,0.44123,0.42688,1.01336,0.79314,0.7292,0.78772,0.73419,0.3815,0.89801,0.94798,0.000151943,0.000151943,0.000151943
80,82724.7,0.43075,0.41192,1.00976,0.81962,0.78957,0.85291,0.80253,0.38684,0.82307,0.95506,0.000145339,0.000145339,0.000145339
81,83173.1,0.45142,0.43075,1.01977,0.71509,0.8087,0.81601,0.76081,0.39139,0.85204,0.96079,0.000138736,0.000138736,0.000138736
82,83622.3,0.43463,0.40559,1.00019,0.73215,0.81244,0.80346,0.74329,0.40083,0.84382,0.96326,0.000132133,0.000132133,0.000132133
83,84070.9,0.42796,0.40651,0.99242,0.79365,0.77288,0.80499,0.74997,0.37739,0.86677,0.95742,0.000125529,0.000125529,0.000125529
84,84519,0.42161,0.39899,0.99759,0.77787,0.79167,0.82424,0.77811,0.38413,0.87205,0.963,0.000118926,0.000118926,0.000118926
85,84967.9,0.43934,0.39937,1.00718,0.74432,0.7768,0.80547,0.75504,0.39231,0.95728,0.97235,0.000112323,0.000112323,0.000112323
86,85416.6,0.42993,0.40131,1.00022,0.85515,0.68841,0.80514,0.74786,0.38947,0.88222,0.9604,0.00010572,0.00010572,0.00010572
87,85864.5,0.42401,0.39767,0.99346,0.71051,0.78335,0.80475,0.75346,0.36852,0.93721,0.95565,9.91162e-05,9.91162e-05,9.91162e-05
88,86313.3,0.40219,0.35654,0.98033,0.7071,0.82282,0.79515,0.74269,0.39023,0.90046,0.95512,9.25129e-05,9.25129e-05,9.25129e-05
89,86760,0.41617,0.38125,0.98997,0.82939,0.70322,0.75471,0.70785,0.3886,0.95541,0.95938,8.59096e-05,8.59096e-05,8.59096e-05
90,87209,0.41839,0.39054,0.99885,0.81806,0.69406,0.79007,0.74665,0.38693,0.98052,0.95851,7.93063e-05,7.93063e-05,7.93063e-05
91,87653.5,0.23326,0.25659,0.88933,0.80882,0.69088,0.70623,0.66189,0.39561,1.11669,0.95578,7.2703e-05,7.2703e-05,7.2703e-05
92,88100,0.22482,0.2256,0.8796,0.82777,0.65732,0.78038,0.73619,0.37977,1.06957,0.94996,6.60997e-05,6.60997e-05,6.60997e-05
93,88546.5,0.22436,0.22806,0.87886,0.84275,0.68544,0.71062,0.66722,0.37997,1.06424,0.94972,5.94964e-05,5.94964e-05,5.94964e-05
94,88992.9,0.21414,0.21369,0.87139,0.86061,0.68375,0.76036,0.70103,0.39299,1.05201,0.95762,5.28931e-05,5.28931e-05,5.28931e-05
95,89439.5,0.20822,0.22871,0.87576,0.83953,0.68103,0.73031,0.68619,0.38728,1.0412,0.95472,4.62898e-05,4.62898e-05,4.62898e-05
96,89887.6,0.2092,0.21889,0.86998,0.85873,0.67182,0.80495,0.75013,0.39078,0.9286,0.95857,3.96865e-05,3.96865e-05,3.96865e-05
97,90335.1,0.20686,0.20855,0.8661,0.8405,0.69224,0.7804,0.73187,0.38232,0.95709,0.95339,3.30832e-05,3.30832e-05,3.30832e-05
98,90781.4,0.19918,0.20683,0.86798,0.81738,0.69501,0.76481,0.71387,0.38351,1.00563,0.94679,2.64799e-05,2.64799e-05,2.64799e-05
99,91227.3,0.19833,0.19948,0.86405,0.83828,0.67715,0.72398,0.67976,0.38146,1.05025,0.94762,1.98766e-05,1.98766e-05,1.98766e-05
100,91673.7,0.19217,0.19134,0.86656,0.82676,0.68016,0.72136,0.67733,0.38297,1.06156,0.94898,1.32733e-05,1.32733e-05,1.32733e-05
